,Category,Mean
0,EVENTS,4.435555555555557
1,COMICS,4.155172413793104
2,SPORTS,4.223510971786835
3,WEATHER,4.243999999999999
4,VIDEO_PLAYERS,4.063750000000001
5,AUTO_AND_VEHICLES,4.19041095890411
6,PARENTING,4.300000000000001
7,ENTERTAINMENT,4.126174496644294
8,PERSONALIZATION,4.335987261146501
9,HEALTH_AND_FITNESS,4.2771043771043775
10,TRAVEL_AND_LOCAL,4.10929203539823
11,BOOKS_AND_REFERENCE,4.346067415730338
12,FOOD_AND_DRINK,4.1669724770642205
13,PHOTOGRAPHY,4.192113564668767
14,BUSINESS,4.121452145214522
15,FAMILY,4.192272467086437
16,SHOPPING,4.259663865546221
17,HOUSE_AND_HOME,4.197368421052633
18,GAME,4.2863263445761195
19,EDUCATION,4.389032258064517
20,PRODUCTIVITY,4.211396011396012
21,TOOLS,4.047411444141691
22,LIFESTYLE,4.094904458598724
23,NEWS_AND_MAGAZINES,4.1321888412017165
24,MEDICAL,4.18914285714286
25,COMMUNICATION,4.158536585365852
26,MAPS_AND_NAVIGATION,4.051612903225806
27,DATING,3.9707692307692306
28,LIBRARIES_AND_DEMO,4.1796875
29,BEAUTY,4.278571428571428
30,SOCIAL,4.255598455598457
31,FINANCE,4.131888544891644
32,ART_AND_DESIGN,4.358064516129031
