,Genres,Mean,Std
0,Video Players & Editors;Creativity,23000000.0,0.0
1,Adventure;Action & Adventure,50753846.15384615,25813840.453802276
2,Education,14195330.935251798,15526019.266857622
3,Trivia,21107407.407407407,20310719.525298152
4,Auto & Vehicles,21541285.714285713,21070783.172385786
5,Travel & Local;Action & Adventure,7600000.0,
6,Simulation;Action & Adventure,56545454.54545455,28108232.375457678
7,Education;Pretend Play,52222727.27272727,30203057.742051493
8,Entertainment,16361354.910714285,18239987.00084466
9,Education;Education,43419512.19512195,25910019.485830143
10,Entertainment;Music & Video,29256250.0,17307646.43156313
11,Parenting;Brain Games,3300000.0,
12,Simulation;Pretend Play,32333333.333333332,26558112.382722784
13,Arcade;Action & Adventure,39484615.384615384,21254483.68987299
14,Educational;Creativity,65000000.0,15858751.527153706
15,Arcade;Pretend Play,91000000.0,
16,Casual;Music & Video,19000000.0,0.0
17,Adventure,37477941.176470585,23986842.447962042
18,Arcade,43386021.50537635,26060144.951569866
19,Education;Brain Games,97000000.0,
20,Entertainment;Brain Games,26650000.0,22517881.783151805
21,Health & Fitness;Action & Adventure,83000000.0,
22,Sports,28912655.172413792,25340534.586140946
23,Entertainment;Action & Adventure,52000000.0,6082762.53029822
24,Adventure;Education,92000000.0,0.0
25,Travel & Local,25356088.050314464,19799900.800602946
26,Food & Drink,24163095.23809524,15695435.448515957
27,Sports;Action & Adventure,42000000.0,1414213.562373095
28,Parenting;Education,30266666.666666668,23870763.14937026
29,Role Playing,49224553.39805825,29646831.319862757
30,Casual;Pretend Play,37176666.666666664,24530680.063296575
31,Educational;Action & Adventure,51000000.0,25521232.990067963
32,Finance,18593120.30075188,18576249.05901227
33,Education;Action & Adventure,32833333.333333332,17668238.923748642
34,Personalization,11668701.43884892,14138843.761955215
35,Educational;Pretend Play,53666666.666666664,18243451.685790297
36,Action;Action & Adventure,53000000.0,29917664.793005932
37,Role Playing;Pretend Play,62800000.0,15319921.670818033
38,Racing,47565060.240963854,25660026.014353584
39,Comics;Creativity,12000000.0,
40,Board;Action & Adventure,39666666.666666664,30859898.466024373
41,Tools,8291020.537124802,10565649.661078751
42,Board;Brain Games,22071428.57142857,22138842.599565852
43,Lifestyle;Pretend Play,100000000.0,
44,Casual;Creativity,36685714.28571428,33437874.16346064
45,Educational,46702806.451612905,23663898.893207707
46,Parenting;Music & Video,29000000.0,8544003.745317532
47,Comics,13182354.166666666,11114169.479197385
48,Education;Music & Video,35000000.0,3464101.6151377545
49,Puzzle;Creativity,57000000.0,36769552.62170047
50,Social,19170124.29378531,22046386.67277185
51,Adventure;Brain Games,8100000.0,
52,Libraries & Demo,12701303.278688524,20644499.91791169
53,Health & Fitness;Education,55000000.0,
54,Shopping,17111832.402234636,13848676.097632812
55,Health & Fitness,24237713.004484303,22687296.850368094
56,House & Home,17505357.14285714,16185969.453290623
57,Entertainment;Creativity,17000000.0,9899494.936611665
58,Racing;Pretend Play,73000000.0,
59,Productivity,12899642.553191489,14953408.832127394
60,Card,31587589.743589744,25745391.130430304
61,Puzzle;Brain Games,43950000.0,26974677.668030024
62,Strategy;Education,42000000.0,
63,Board;Pretend Play,42000000.0,
64,Casual;Action & Adventure,43113333.333333336,33662502.80710118
65,Casino,32121875.0,19450329.367391184
66,Role Playing;Brain Games,54000000.0,
67,Card;Brain Games,26000000.0,
68,Music,45426666.666666664,28651887.6632355
69,Entertainment;Education,10000000.0,
70,Video Players & Editors;Music & Video,19000000.0,
71,Art & Design;Creativity,13350000.0,12054501.23397895
72,Photography,17599254.237288136,17295312.264746435
73,Books & Reference;Education,20500000.0,12020815.280171309
74,Card;Action & Adventure,25500000.0,3535533.9059327375
75,Events,14432473.684210526,14554986.406145234
76,Casual;Brain Games,22615384.615384616,9087889.941550987
77,Lifestyle,15067820.788530465,15465264.974928368
78,Business,14911723.577235773,14123605.891715579
79,News & Magazines,13127857.98816568,10120005.65493434
80,Video Players & Editors,16105043.47826087,18460635.58921366
81,Books & Reference,14386250.0,16680005.25083347
82,Music & Audio;Music & Video,9800000.0,
83,Dating,18312716.763005782,15217120.870134639
84,Strategy;Action & Adventure,47500000.0,31819805.15339464
85,Weather,13405529.411764706,12516940.17298627
86,Puzzle,34843271.028037384,28460556.378751885
87,Casual,36933750.0,26042516.97228155
88,Education;Creativity,45800000.0,7981227.975693966
89,Racing;Action & Adventure,69071428.57142857,26435594.552433643
90,Board,24418184.210526317,25367272.017578043
91,Music;Music & Video,26800000.0,22810523.887013204
92,Educational;Education,45321212.121212125,26204946.54611698
93,Medical,19414827.16049383,19071519.743807916
94,Simulation;Education,24666666.666666668,17616280.348965082
95,Parenting,20297142.85714286,26046626.582007144
96,Communication,12458308.056872038,13839394.623936046
97,Word,36125000.0,30031117.919222735
98,Beauty,15513513.513513513,13914843.436699815
99,Puzzle;Education,22000000.0,
100,Strategy,52677083.333333336,31446259.853469536
101,Action,50861934.782608695,26550639.29530706
102,Strategy;Creativity,63000000.0,
103,Casual;Education,32666666.666666668,19629909.152447276
104,Entertainment;Pretend Play,16500000.0,3535533.9059327375
105,Educational;Brain Games,34383333.333333336,16694959.319107868
106,Art & Design;Pretend Play,14000000.0,0.0
107,Maps & Navigation,17448842.10526316,16943857.621955574
108,Puzzle;Action & Adventure,44000000.0,9591663.04662544
109,Art & Design,13084615.384615384,9796945.995031439
110,Simulation,45524725.27472527,23524884.994671214
111,Role Playing;Action & Adventure,52600000.0,21927152.117865194
